Threshold,Precision,Recall,F1,Flagged_Count,Flagged_Rate
0.5599999999999997,0.8775042239922761,0.764724442574674,0.817241766887715,8286,0.28552722260509994
0.5699999999999997,0.8802096027297099,0.7596760622633572,0.8155131534379587,8206,0.28277050310130947
0.5799999999999997,0.8836722119531731,0.754206983592764,0.8138228451455485,8115,0.2796347346657478
0.5899999999999997,0.8884307846076962,0.747896508203618,0.8121288259479215,8004,0.2758097863542385
0.5999999999999998,0.892354507417269,0.7402187631468238,0.8091980454153492,7887,0.27177808407994486
0.6099999999999998,0.8953503266299475,0.735170382835507,0.8073924343055154,7807,0.2690213645761544
0.6199999999999998,0.8992338657317231,0.7283340344972654,0.8048114358765762,7701,0.265368711233632
0.6299999999999997,0.9016177824542944,0.7209718132099285,0.8012389690842149,7603,0.2619917298414886
0.6399999999999997,0.9056906224953246,0.713083718973496,0.7979286807108391,7486,0.25796002756719505
0.6499999999999997,0.908683245006115,0.7033024821203198,0.7929092310428648,7359,0.2535837353549276
0.6599999999999997,0.9126293995859214,0.6954143878838872,0.789351160986092,7245,0.24965541006202618
0.6699999999999997,0.9153135498320268,0.687736642827093,0.7853711265914004,7144,0.2461750516884907
0.6799999999999997,0.9172354948805461,0.6783761043331931,0.7799274486094316,7032,0.242315644383184
0.6899999999999997,0.9208006962576153,0.6676482961716449,0.7740519448847701,6894,0.23756030323914543
0.6999999999999996,0.9266123054114158,0.6573411863693731,0.7690887836091799,6745,0.23242591316333563
0.7099999999999996,0.9298881837413115,0.6472444257467396,0.7632394890239365,6618,0.22804962095106823
0.7199999999999996,0.9329004329004329,0.6346234749684476,0.7553830746119179,6468,0.22288077188146105
0.7299999999999996,0.9375297288726812,0.6218973496003366,0.7477711033828643,6307,0.2173328738800827
0.7399999999999997,0.9410331384015594,0.6092763988220445,0.7396578140960164,6156,0.21212956581667816
0.7499999999999997,0.9480563002680965,0.5950778291964661,0.7311966916515895,5968,0.2056512749827705
0.7599999999999997,0.9543956996705393,0.5788809423643247,0.7206546644844517,5767,0.1987250172294969
0.7699999999999997,0.9584073942410238,0.5671013883045856,0.7125677282939078,5626,0.19386629910406616
0.7799999999999997,0.9643840646227281,0.5524821203197308,0.7025075225677031,5447,0.18769813921433495
0.7899999999999996,0.9703269703269704,0.5399663441312579,0.6938306642340699,5291,0.1823225361819435
0.7999999999999996,0.9732421875,0.5240849810685738,0.6812961443806399,5120,0.17643004824259131
0.8099999999999996,0.9776974080771549,0.5117795540597392,0.6718674490852606,4977,0.17150241212956582
0.8199999999999996,0.980546357615894,0.4983172065628944,0.6608089260808926,4832,0.16650585802894555
0.8299999999999996,0.9827402514383123,0.48506520824568783,0.6495317231180903,4693,0.16171605789110957
0.8399999999999996,0.9856209150326798,0.47580984434160706,0.6417931621506596,4590,0.15816678152997932
0.8499999999999996,0.9885573255553063,0.4633992427429533,0.6310060866451844,4457,0.15358373535492764
0.8599999999999995,0.9908256880733946,0.4543542280185107,0.623017017594462,4360,0.15024121295658166
0.8699999999999996,0.9937018894331701,0.44804375262936474,0.617615077926785,4287,0.14772570640937285
0.8799999999999996,0.9954534577650156,0.43752629364745477,0.6078760867976912,4179,0.1440041350792557
0.8899999999999996,0.9960591133004926,0.4253260412284392,0.5961084905660378,4060,0.13990351481736732
0.8999999999999996,0.9964539007092199,0.41375683634833826,0.5847205707491082,3948,0.13604410751206064
